Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Outlet_Years,Item_Visibility_MeanRatio,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDA15,9.3,0.016047301,249.8092,OUT049,3735.138,14,0.9229596700085654,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRC01,5.92,0.019278216,48.2692,OUT018,443.4228,4,1.0030565792305357,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDN15,17.5,0.016760075,141.618,OUT049,2097.27,14,0.8319896179620336,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDX07,19.2,0.015273673333333335,182.095,OUT010,732.38,15,1.0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCD19,8.93,0.008082153,53.8614,OUT013,994.7052,26,1.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDP36,10.395,0.060928214,51.4008,OUT018,556.6088,4,1.0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO10,13.65,0.012741089,57.6588,OUT013,343.5528,26,1.1977579821213942,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP10,19.0,0.127469857,107.7622,OUT027,4022.7636,28,0.9946778305578745,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDH17,16.2,0.016687114,96.9726,OUT045,1076.5986,11,0.90399742766201,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDU28,19.2,0.09444959,187.8214,OUT017,4710.535,6,0.8736089527619524,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDY07,11.8,0.052234102857142854,45.5402,OUT049,1516.0266,14,1.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDA03,18.5,0.045463773,144.1102,OUT046,2187.153,16,1.0582617176959415,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDX32,15.1,0.1000135,145.4786,OUT049,1589.2646,14,1.03650040956967,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDS46,17.6,0.047257328,119.6782,OUT046,2145.2076,16,0.8677308071633344,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDF32,16.35,0.06802430000000001,196.4426,OUT013,1977.426,26,1.3594153951244006,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP49,9.0,0.06908896099999999,56.3614,OUT046,1547.3192,16,1.0372246619638643,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCB42,11.8,0.008596051,115.3492,OUT018,1621.8888,4,1.0030881886774816,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDP49,9.0,0.06919637599999999,54.3614,OUT049,718.3982,14,1.0388372710616456,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRI11,8.26,0.034237682,113.2834,OUT027,2303.668,28,0.8266123043984331,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.10249212,230.5352,OUT035,2748.4224,9,0.9019971960754412,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDN22,18.85,0.138190277,250.8724,OUT013,3775.086,26,0.9964460714177477,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
